Lon,Lat,TMI,RTP,RTP_1VD,Gravity,Potassium,Uranium,Thorium
147.6152038319823,-34.661195601607105,20.47175,71.82536,-0.004046602,-238.56435,1.5410811,1.8728598,16.401701
147.61560390567428,-34.66079551702263,22.523474,78.38399,0.06718283,-243.30067,1.535168,1.8799503,16.31945
147.61600397936627,-34.66039543243815,24.67463,80.0794,0.09291653,-248.02132,1.4744787,1.8842083,16.20373
147.61640405305823,-34.65999534785367,26.587677,74.34034,0.0406258,-252.62193,1.3847371,1.8737686,16.016787
147.6168041267502,-34.65959526326919,27.81772,66.981995,-0.012705136,-257.064,1.2689294,1.8218507,15.720107
147.61720420044216,-34.65919517868471,28.22732,62.46415,-0.0247799,-261.3297,1.1515691,1.7330352,15.341039
147.61760427413412,-34.658795094100235,27.917288,59.967846,-0.025107022,-265.3803,1.0980885,1.654145,15.013607
147.6180043478261,-34.65839500951576,27.026665,58.517754,-0.024458973,-269.13757,1.1217223,1.6073966,14.925821
147.61840442151805,-34.65799492493128,25.601202,57.93353,-0.022591084,-272.50302,1.166648,1.588052,15.023079
147.61880449521004,-34.657594840346796,23.708563,58.52789,-0.013205453,-275.41464,1.1739935,1.5689416,15.0203905
147.619204568902,-34.65719475576232,21.525602,60.460728,0.015266238,-277.84964,1.130367,1.5179884,14.763808
147.61960464259397,-34.65679467117784,19.279331,60.797615,0.029443933,-279.83786,1.0696288,1.4463965,14.349211
147.62000471628593,-34.656394586593365,17.120186,57.954586,0.0045318548,-281.4267,1.0284892,1.3939248,13.969674
147.6204047899779,-34.65599450200888,15.096186,54.354053,-0.033340428,-282.67056,1.0136338,1.3985353,13.747877
147.62080486366986,-34.6555944174244,13.235633,54.44743,-0.03770579,-283.66568,1.0094119,1.4494896,13.618341
147.62120493736182,-34.655194332839926,11.586189,59.224155,0.021725256,-284.50143,0.99831206,1.479293,13.360257
147.62160501105382,-34.65479424825545,10.230606,62.94116,0.064950034,-285.26932,0.97493964,1.4648743,12.895768
147.62200508474578,-34.65439416367097,9.323536,61.51845,0.041218076,-286.0489,0.93804926,1.4540893,12.436563
147.62240515843774,-34.65399407908649,9.080233,57.826508,0.0067482744,-286.90033,0.888109,1.4727572,12.191748
147.6228052321297,-34.65359399450201,9.851789,55.332996,0.002134605,-287.85544,0.8423258,1.4805285,12.131369
147.62320530582167,-34.65319390991753,11.815619,53.75303,0.010835457,-288.91574,0.8258265,1.4330156,12.05578
147.62360537951363,-34.652793825333056,14.705978,51.79373,0.00443439,-290.05905,0.83398104,1.3520528,11.858084
147.6240054532056,-34.65239374074857,17.897177,49.873547,-0.00084965775,-291.25217,0.8362143,1.2964442,11.613261
147.6244055268976,-34.651993656164095,20.074116,48.380585,0.0059354845,-292.46277,0.8270385,1.2783544,11.418036
147.62480560058955,-34.65159357157962,20.260328,46.419098,0.0012861531,-293.6621,0.81928635,1.2616807,11.357222
147.62520567428152,-34.65119348699514,18.783998,43.94455,-0.009668676,-294.82132,0.8092235,1.2482039,11.39584
147.62560574797348,-34.65079340241066,16.567486,41.88686,-0.015535595,-295.89566,0.7926949,1.2803284,11.414563
147.62600582166544,-34.65039331782618,14.352015,40.526073,-0.01776321,-296.80722,0.7772982,1.3480029,11.485432
147.6264058953574,-34.6499932332417,12.567261,39.796444,-0.014642763,-297.45728,0.76983345,1.3979982,11.624802
147.62680596904937,-34.649593148657225,11.277735,39.56033,-0.00784809,-297.79016,0.7747155,1.4078555,11.607286
147.62720604274134,-34.64919306407275,10.376325,39.476357,0.00019072625,-297.86282,0.7883492,1.3995384,11.371798
147.62760611643333,-34.64879297948826,9.731831,39.035683,0.0031681452,-297.83163,0.79777354,1.4074168,11.115172
147.6280061901253,-34.648392894903786,9.278944,37.842583,-0.00535912,-297.88098,0.8003555,1.4384121,11.019222
147.62840626381725,-34.64799281031931,9.001849,36.36879,-0.022890596,-298.15665,0.8022143,1.4714773,11.099996
147.62880633750922,-34.64759272573483,8.874078,36.69906,-0.040269878,-298.7512,0.8028296,1.4795276,11.265112
147.62920641120118,-34.64719264115035,8.845702,40.888554,-0.003037863,-299.71167,0.8053364,1.4369763,11.4956665
147.62960648489315,-34.64679255656587,8.862992,46.971317,0.07111775,-301.04718,0.8201109,1.3558078,11.78566
147.6300065585851,-34.64639247198139,8.876739,49.36463,0.11456993,-302.72336,0.8422454,1.2934269,12.039621
147.6304066322771,-34.645992387396916,8.8518505,44.52133,0.08687692,-304.65997,0.85271376,1.2811499,12.183389
147.63080670596906,-34.64559230281244,8.775506,35.08339,0.005972707,-306.71945,0.8507611,1.3032062,12.208799
147.63120677966103,-34.645192218227955,8.645606,26.695292,-0.050945222,-308.7762,0.85263854,1.3384356,12.180446
147.631606853353,-34.64479213364348,8.4610615,22.185316,-0.052355155,-310.73492,0.8589558,1.3680216,12.196434
147.63200692704496,-34.644392049059,8.245387,20.710646,-0.032329462,-312.5569,0.86217207,1.3672267,12.226689
147.63240700073692,-34.64399196447452,8.075363,20.326002,-0.014174784,-314.2602,0.8671008,1.334184,12.1776085
147.63280707442888,-34.64359187989004,8.023049,19.974264,-0.0045591476,-315.87238,0.87221473,1.3074402,12.153495
147.63320714812087,-34.64319179530556,8.084752,19.494068,0.0016924462,-317.41968,0.86854416,1.3260303,12.273414
147.63360722181284,-34.642791710721085,8.135068,18.629179,0.0066539403,-318.9643,0.8645526,1.397424,12.329675
147.6340072955048,-34.64239162613661,8.0128,17.053825,0.0026803832,-320.6016,0.8682701,1.4905853,12.179274
147.63440736919677,-34.64199154155213,7.6761017,15.015026,-0.006542713,-322.38657,0.8693632,1.55279,12.0860405
147.63480744288873,-34.641591456967646,7.193603,13.202701,-0.013176793,-324.2581,0.857943,1.5796343,12.209206
147.6352075165807,-34.64119137238317,6.6770926,12.342235,-0.0071451697,-326.03864,0.84076905,1.600256,12.351947
147.63560759027266,-34.64079128779869,6.171947,11.870049,0.002876983,-327.49463,0.84099394,1.5957346,12.407956
147.63600766396465,-34.640391203214214,5.6410384,10.5832,-0.008234823,-328.39832,0.8596387,1.556905,12.512063
147.6364077376566,-34.63999111862973,4.9613795,10.585276,-0.0076417318,-328.55258,0.87106985,1.5320705,12.689317
147.63680781134858,-34.63959103404525,4.046496,13.089858,0.028257854,-327.7839,0.8744388,1.540654,12.757758
147.63720788504054,-34.639190949460776,3.0110207,13.804993,0.039371908,-325.94232,0.88566774,1.5534854,12.633761
147.6376079587325,-34.6387908648763,2.2025354,10.61312,0.011998048,-322.92413,0.9011193,1.538848,12.481403
147.63800803242447,-34.63839078029182,2.1369665,7.030985,-0.012256641,-318.6905,0.90504235,1.4733878,12.472462
147.63840810611643,-34.63799069570734,3.3943403,5.306438,-0.010395463,-313.28488,0.8895348,1.3763118,12.539845
147.63880817980842,-34.63759061112286,6.446368,4.2785535,-0.0023103855,-306.85672,0.8646676,1.3135889,12.447745
147.63920825350039,-34.63719052653838,10.949206,2.7023377,-0.0036439695,-299.6659,0.8499475,1.3034539,12.090239
147.63960832719235,-34.636790441953906,15.451158,0.65594673,-0.011487229,-292.01364,0.86016685,1.3022846,11.674499
147.6400084008843,-34.63639035736942,18.201927,-1.5940443,-0.025506837,-284.1724,0.8942857,1.2912575,11.532078
147.64040847457628,-34.635990272784944,18.116604,-2.5178556,-0.034307864,-276.373,0.9256766,1.2821432,11.733261
147.64080854826824,-34.63559018820047,15.422711,-0.2433188,-0.00897479,-268.78802,0.9345869,1.2922496,12.097803
147.6412086219602,-34.63519010361599,11.5406,3.5633123,0.037632484,-261.46716,0.94676125,1.3309023,12.532533
147.6416086956522,-34.63479001903151,7.9332886,4.839513,0.051499244,-254.30963,0.9968865,1.3869398,12.950042
147.64200876934416,-34.63438993444703,5.263584,2.74187,0.027657367,-247.12064,1.0795364,1.4568374,13.136944
